#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
8	37	204467	2000	2987	4161	0	2403	116190	1480	3500	0	3408	1270	134907	3556	0	3682	2637	2572	244105	0
8	38	179270	1532	2401	2071	0	2135	85211	1353	1945	0	3011	1153	108100	1280	0	3299	1903	1944	115494	0
8	39	1751253	22033	26840	33245	0	21125	1209515	13896	28319	0	26749	14460	1169547	20903	0	32369	29162	21358	1804908	0
9	2	1	1	1	1	14	1	1	1	1	10	1	1	1	1	8	1	1	1	1	11
9	5	1	1	1	2	0	1	1	1	1	0	1	1	1	2	0	1	1	1	13	0
9	6	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2	1	2	2	0
9	8	54	9	15	5	0	2	49	5	3	0	4	2	74	6	0	5	7	32	157	0
9	10	894	49	49	27	0	62	608	21	23	0	27	11	486	27	0	75	83	48	1029	0
9	11	332	10	7	22	0	21	163	2	14	0	19	5	81	11	0	23	18	6	717	0
9	12	4	1	1	1	0	1	1	1	1	0	2	1	1	1	0	1	1	1	5	0
9	13	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	3	0
9	14	2	1	1	1	0	1	1	1	1	0	1	1	3	1	0	1	1	1	1	0
9	15	69	2	7	8	0	2	38	3	6	0	3	1	84	20	0	2	2	5	348	0
9	16	207	1	26	2	0	8	154	7	3	0	1	5	284	3	0	3	14	11	97	0
9	17	873	13	14	48	0	12	535	8	47	0	17	10	506	55	0	12	12	10	2950	0
9	18	770	17	26	16	0	10	554	11	10	0	20	16	562	8	0	28	31	5	458	0
9	19	988	14	15	22	0	20	478	7	18	0	24	4	411	16	0	33	38	9	1038	0
9	20	10	1	1	1	0	1	6	2	1	0	2	1	10	4	0	1	1	2	24	0
9	21	133	5	12	4	0	1	82	7	2	0	6	2	230	6	0	3	5	5	147	0
9	22	130	2	3	3	0	2	80	5	3	0	6	3	240	7	0	5	3	3	130	0
9	23	1565	19	37	33	0	13	952	12	30	0	24	13	1210	15	0	28	24	18	1247	0
9	24	18	1	4	1	0	1	3	1	1	0	4	1	32	1	0	2	1	1	19	0
9	25	3614	38	63	76	0	46	2149	24	63	0	75	28	2231	77	0	90	52	38	4436	0
9	26	1986	24	45	14	0	22	1289	16	11	0	38	22	1435	15	0	35	25	13	885	0
9	27	6217	59	104	146	0	73	3379	58	140	0	124	43	4020	150	0	130	101	82	8403	0
9	28	2634	30	34	83	0	37	1613	15	57	0	39	16	1739	88	0	54	51	33	5032	0
9	29	4814	42	74	73	0	50	2441	32	70	0	83	23	3052	47	0	87	79	52	3584	0
9	30	18347	182	287	279	0	194	10530	146	258	0	289	120	11799	225	0	351	244	187	16726	0
9	31	823	12	30	38	0	16	703	22	37	0	27	15	1629	58	0	20	16	33	1915	0
9	32	24221	244	425	505	0	240	13905	182	416	0	399	164	18182	443	0	447	315	313	30132	0
9	33	35290	345	435	456	0	421	19384	219	442	0	584	225	20593	383	0	602	489	349	29332	0
9	34	12696	158	201	460	0	129	7891	76	395	0	204	95	9373	530	0	202	194	148	29061	0
9	35	106853	1034	1665	1747	0	1200	61401	824	1517	0	1783	775	72116	1508	0	2022	1406	1255	107272	0
9	36	30	1	1	3	0	1	8	1	1	0	2	1	7	1	0	2	1	1	105	0
9	37	207665	2034	3063	3988	0	2304	117512	1521	3503	0	3572	1425	137467	3603	0	3836	2752	2506	239114	0
